name,pID,height,weight,birthYr,firstSeasonID
Clint Capela,capelca01,82,240,1994,2015
Derrick Caracter,caracde01,81,275,1988,2011
Brian Cardinal,cardibr01,80,245,1977,2001
Vernon Carey Jr.,careyve01,81,270,2001,2021
Geno Carlisle,carlige01,75,180,1976,2005
Rick Carlisle,carliri01,77,210,1959,1985
Rodney Carney,carnero01,79,205,1984,2007
Antoine Carr,carran01,81,225,1961,1985
Chris Carr,carrch01,77,207,1974,1996
Cory Carr,carrco01,75,210,1975,1999
DeMarre Carroll,carrode01,78,215,1986,2010
Joe Barry Carroll,carrojo01,84,225,1958,1981
Matt Carroll,carroma01,78,212,1980,2004
Jimmy Carruth,carruji01,82,265,1969,1997
Anthony Carter,cartean01,73,190,1975,2000
Jevon Carter,carteje01,73,200,1995,2019
Maurice Carter,cartema01,77,210,1976,2004
Michael Carter-Williams,cartemi01,77,190,1991,2014
Vince Carter,cartevi01,78,220,1977,1999
Wendell Carter Jr.,cartewe01,82,270,1999,2019
Bill Cartwright,cartwbi01,85,245,1957,1980
Alex Caruso,carusal01,76,186,1994,2018
Sam Cassell,cassesa01,75,185,1969,1994
Omri Casspi,casspom01,81,225,1988,2010
Terry Catledge,catlete01,80,220,1963,1986
Kelvin Cato,catoke01,83,255,1974,1998
Willie Cauley-Stein,caulewi01,84,240,1993,2016
Troy Caupain,caupatr01,76,210,1995,2019
Duane Causwell,causwdu01,84,240,1968,1991
Tyler Cavanaugh,cavanty01,81,238,1994,2018
Ahmad Caver,caverah01,74,175,1996,2022
Cedric Ceballos,cebalce01,78,190,1969,1991
John Celestand,celesjo01,76,178,1977,2000
Lionel Chalmers,chalmli01,72,180,1980,2005
Mario Chalmers,chalmma01,74,190,1986,2009
Tom Chambers,chambto01,82,220,1959,1982
Justin Champagnie,champju01,78,200,2001,2022
Tyson Chandler,chandty01,84,235,1982,2002
Wilson Chandler,chandwi01,80,235,1987,2008
Rex Chapman,chapmre01,76,185,1967,1989
Joe Chealey,chealjo01,75,190,1995,2019
Calbert Cheaney,cheanca01,79,209,1971,1994
Zylan Cheatham,cheatzy01,77,220,1995,2020
Maurice Cheeks,cheekma01,73,180,1956,1979
Will Cherry,cherrwi01,72,185,1991,2015
Derrick Chievous,chievde01,79,195,1967,1989
Pete Chilcutt,chilcpe01,82,230,1968,1992
Chris Childs,childch01,75,195,1967,1995
Josh Childress,childjo01,80,210,1983,2005
Randolph Childress,childra01,74,188,1972,1996
Chris Chiozza,chiozch01,71,175,1995,2019
Dionte Christmas,chrisdi01,77,205,1986,2014
Doug Christie,chrisdo01,78,200,1970,1993
Josh Christopher,chrisjo01,77,215,2001,2022
Marquese Chriss,chrisma01,81,240,1997,2017
Patrick Christopher,chrispa01,77,209,1988,2015
Rakeem Christmas,chrisra01,81,250,1991,2016
Semaj Christon,chrisse01,75,190,1992,2017
Robert Churchwell,churcro01,78,195,1972,1996
Brandon Clarke,clarkbr01,80,215,1996,2020
Coty Clarke,clarkco01,79,232,1992,2016
Earl Clark,clarkea01,82,225,1988,2010
Gary Clark,clarkga01,78,225,1994,2019
Ian Clark,clarkia01,75,175,1991,2014
Jordan Clarkson,clarkjo01,76,194,1992,2015
Keon Clark,clarkke01,83,220,1975,1999
Gian Clavell,clavegi01,76,185,1993,2018
Victor Claver,clavevi01,81,224,1988,2013
Charles Claxton,claxtch01,84,265,1970,1996
Nic Claxton,claxtni01,83,215,1999,2020
Speedy Claxton,claxtsp01,71,166,1978,2002
Mateen Cleaves,cleavma01,74,205,1977,2001
Chris Clemons,clemoch01,69,180,1997,2020
Antonius Cleveland,clevean01,77,195,1994,2018
Keith Closs,closske01,87,212,1976,1998
Amir Coffey,coffeam01,79,210,1997,2020
Richard Coffey,cofferi01,78,212,1965,1991
John Coker,cokerjo01,84,253,1971,1996
Ben Coleman,colembe01,81,235,1961,1987
Derrick Coleman,colemde01,82,230,1967,1991
Norris Cole,coleno01,74,175,1988,2012
Bimbo Coles,colesbi01,73,180,1968,1991
Darren Collison,collida01,72,175,1987,2010
James Collins,collija01,76,196,1973,1998
Jason Collier,collija02,84,260,1977,2001
Jarron Collins,collija03,83,255,1978,2002
Jason Collins,collija04,84,255,1978,2002
John Collins,collijo01,81,235,1997,2018
Kyle Collinsworth,colliky01,78,210,1991,2018
Mardy Collins,collima01,78,220,1984,2007
Nick Collison,collini01,82,255,1980,2005
Sherron Collins,collish01,71,205,1987,2011
Zach Collins,colliza01,83,250,1997,2018
Bonzie Colson,colsobo01,78,224,1996,2019
Sean Colson,colsose01,72,175,1975,2001
Steve Colter,coltest01,75,165,1962,1985
Mike Conley,conlemi01,73,175,1987,2008
Marty Conlon,conloma01,82,224,1968,1992
Pat Connaughton,connapa01,77,209,1993,2016
Lester Conner,connele01,76,180,1959,1983
Will Conroy,conrowi01,74,195,1982,2007
Anthony Cook,cookan01,81,205,1967,1991
Brian Cook,cookbr01,81,234,1980,2004
Daequan Cook,cookda02,77,205,1987,2008
Charles Cooke,cookech01,77,196,1994,2018
Omar Cook,cookom01,73,190,1982,2004
Quinn Cook,cookqu01,73,180,1993,2017
Tyler Cook,cookty01,80,255,1997,2020
Jack Cooley,cooleja01,81,260,1991,2015
Duane Cooper,coopedu01,73,185,1969,1993
Michael Cooper,coopemi01,77,170,1956,1979
Sharife Cooper,coopesh01,73,180,2001,2022
Wayne Cooper,coopewa01,82,220,1956,1979
Tom Copa,copato01,82,275,1964,1992
Chris Copeland,copelch01,81,239,1984,2013
Lanard Copeland,copella01,78,190,1965,1990
Tyrone Corbin,corbity01,78,210,1962,1986
Chris Corchiani,corchch01,72,185,1968,1992
Petr Cornelie,cornepe01,83,220,1995,2022
Dave Corzine,corzida01,83,250,1956,1979
Matt Costello,costema01,81,245,1993,2018
